Transactive	B-LF
rigid.	B-O
No	B-O
Trp	B-O
residues	B-O
could	B-O
be	B-O
detected	B-O
in	B-O
the	B-O
characteristic	B-O
region	B-O
corresponding	B-O
to	B-O
aromatic	B-O
13	B-O
C	B-O
nuclei	B-O
,	B-O
which	B-O
unambiguously	B-O
indicate	B-O
that	B-O
these	B-O
motifs	B-O
are	B-O
immobilized	B-O
within	B-O
a	B-O
fibrillar	B-O
core	B-O
containing	B-O
β-rich	B-O
segments,	B-O
as	B-O
evinced	B-O
by	B-O
distinctive	B-O
cross-peaks	B-O
in	B-O
the	B-O
Cα/Cβ	B-O
serine	B-O
region	B-O
.	B-O
This	B-O
is	B-O
reminiscent	B-O
of	I-LF
structural	B-O
models	B-O
of	I-LF
other	B-O
PrLD-containing	B-O
fibrils,	B-O
in	B-O
which	B-O
the	B-O
amyloid	B-O
core	B-O
is	B-O
formed	B-O
by	B-O
Ser/Gly/Aromatic-rich	B-O
motifs	B-O
.	B-O
Unlike	B-O
Trp	B-O
residues,	B-O
mutation	B-O
of	I-LF
Phe	B-O
residues	B-O
to	B-O
Gly	B-O
did	B-O
not	B-O
abolish	B-O
droplet	B-O
initiation,	B-O
as	B-O
long	B-O
as	B-O
the	B-O
Trp	B-O
residues	B-O
remained	B-O
unchanged	B-O
.	B-O
This	B-O
observation	B-O
indicates	B-O
that	B-O
Phe-Gly	B-O
motifs	B-O
have	B-O
distinct	B-O
roles	B-O
in	B-O
the	B-O
droplet	B-O
and	B-O
the	B-O
fibril	B-O
forms.	B-O
While	B-O
a	B-O
structure	B-O
determination	B-O
is	B-O
still	B-O
in	B-O
progress,	B-O
for	B-O
which	B-O
we	B-O
are	B-O
optimizing	B-O
the	B-O
production	B-O
of	I-LF
larger	B-O
amount	B-O
of	I-LF
samples	B-O
with	B-O
distinct	B-O
labeling	B-O
schemes,	B-O
the	B-O
1D	B-O
slices	B-O
of	I-LF
the	B-O
2D	B-O
data	B-O
set	B-O
already	B-O
indicate	B-O
that	B-O
the	B-O
signal	B-O
from	B-O
Phe/Tyr	B-O
aromatic	B-O
13	B-O
C,	B-O
Gly’s	B-O
13	B-O
Cα,	B-O
and	B-O
Ser’s	B-O
13	B-O
Cβ	B-O
nuclei	B-O
are	B-O
unambiguously	B-O
detectable	B-O
under	B-O
our	B-O
experimental	B-O
conditions	B-O
.	B-O
When	B-O
the	B-O
same	B-O
experiment	B-O
is	B-O
recorded	B-O
with	B-O
a	B-O
shorter	B-O
mixing	B-O
time,	B-O
only	B-O
intra-residual	B-O
correlations	B-O
are	B-O
observed,	B-O
supporting	B-O
the	B-O
build-up	B-O
of	I-LF
sequential	B-O
connectivities	B-O
as	B-O
the	B-O
mixing	B-O
time	B-O
is	B-O
increased	B-O
.	B-O
The	B-O
GAroS	B-AC
regions	B-O
of	I-LF
TDP-43	B-AC
PrLD	B-AC
contains	B-O
6	B-O
Phe-Gly	B-O
motifs,	B-O
3	B-O
of	I-LF
which	B-O
exist	B-O
as	B-O
Phe-Gly-Ser	B-O
triads	B-O
.	B-O
There	B-O
is	B-O
also	B-O
just	B-O
1	B-O
Tyr	B-O
residue	B-O
.	B-O
Tentatively,	B-O
it	B-O
seems	B-O
reasonable	B-O
to	B-O
speculate	B-O
that	B-O
these	B-O
motifs	B-O
may	B-O
be	B-O
part	B-O
of	I-LF
the	B-O
structural	B-O
core.	B-O
Along	B-O
this	B-O
line,	B-O
a	B-O
recent	B-O
cryo-EM	B-AC
structural	B-O
model	B-O
of	I-LF
fibrils	B-O
from	B-O
the	B-O
entire	B-O
PrLD	B-AC
of	I-LF
TDP-43	B-AC
formed	B-O
under	B-O
conditions	B-O
akin	B-O
to	B-O
those	B-O
of	I-LF
the	B-O
present	B-O
work	B-O
was	B-O
posted	B-O
in	B-O
bioRxiv	B-O
after	B-O
the	B-O
submission	B-O
of	I-LF
this	B-O
manuscript.	B-O
Interestingly	B-O
enough,	B-O
this	B-O
cryo-EM	B-AC
study	B-O
provides	B-O
direct	B-O
visual	B-O
evidence	B-O
that	B-O
all	B-O
Phe	B-O
residues	B-O
from	B-O
the	B-O
GAroS	B-AC
segment	B-O
are	B-O
present	B-O
in	B-O
the	B-O
structure,	B-O
as	B-O
proposed	B-O
here	B-O
based	B-O
on	B-O
the	B-O
unambiguous	B-O
observation	B-O
of	I-LF
various	B-O
cross-peaks	B-O
corresponding	B-O
to	B-O
Phe	B-O
residues	B-O
in	B-O
the	B-O
aromatic	B-O
region	B-O
of	I-LF
the	B-O
13	B-O
C-	B-O
13	B-O
C	B-O
Dipolar	B-LF
Assisted	I-LF
Rotational	I-LF
Resonance	I-LF
.	B-O
To	B-O
further	B-O
test	B-O
the	B-O
role	B-O
of	I-LF
Phe	B-O
residues	B-O
within	B-O
and	B-O
outside	B-O
the	B-O
central	B-O
region	B-O
spanning	B-O
residues	B-O
311	B-O
to	B-O
360,	B-O
2	B-O
TDP-43	B-AC
PrLD	B-AC
variants	B-O
were	B-O
generated.	B-O
In	B-O
1	B-O
variant,	B-O
the	B-O
2	B-O
central	B-O
Phe	B-O
residues	B-O
were	B-O
substituted	B-O
to	B-O
Ala	B-O
residues,	B-O
that	B-O
is	B-O
F312A+F316A.	B-O
In	B-O
the	B-O
other,	B-O
all	B-O
6	B-O
Phe	B-O
in	B-O
the	B-O
GAroS	B-AC
were	B-O
mutated	B-O
to	B-O
Ala,	B-O
that	B-O
is	B-O
F276A+F283A+F289A+F367A+F397A+F401A.	B-O
When	B-O
incubated	B-O
in	B-O
the	B-O
presence	B-O
of	I-LF
seeds	B-O
from	B-O
the	B-O
SSNMR	B-AC
samples,	B-O
the	B-O
F313A+F316A	B-O
variant	B-O
formed	B-O
aggregates,	B-O
while	B-O
the	B-O
hexa-mutated	B-O
F276A+F283A+F289A+F367A+F397A+F401A	B-O
variant	B-O
did	B-O
not	B-O
.	B-O
This	B-O
result	B-O
unambiguously	B-O
indicates	B-O
that	B-O
whereas	B-O
the	B-O
double	B-O
mutation	B-O
can	B-O
be	B-O
tolerated	B-O
and	B-O
incorporates	B-O
into	B-O
the	B-O
fibril,	B-O
the	B-O
hexa-mutated	B-O
variant	B-O
cannot.	B-O
This	B-O
observation	B-O
corroborates	B-O
the	B-O
creation	B-O
of	I-LF
hydrophobic	B-O
cores	B-O
by	B-O
Phe	B-O
residues	B-O
in	B-O
the	B-O
GAroS	B-AC
segments,	B-O
highlighting	B-O
the	B-O
relevance	B-O
of	I-LF
these	B-O
motifs	B-O
beyond	B-O
the	B-O
central	B-O
helix	B-O
in	B-O
forming	B-O
amyloid	B-O
fibrils	B-O
by	B-O
the	B-O
PrLD	B-AC
of	I-LF
TDP-43.	B-O
Download:	B-O
PPT	B-O
PowerPoint	B-O
slide	B-O
PNG	B-O
larger	B-O
image	B-O
TIFF	B-O
original	B-O
image	B-O
Fig	B-O
4.	B-O
Fibrils	B-O
from	B-O
the	B-O
PrLD	B-AC
of	I-LF
TDP-43	B-AC
are	B-O
stabilized	B-O
by	B-O
Phe-Gly	B-O
motifs.	B-O
.	B-O
This	B-O
suggests	B-O
the	B-O
reconstitution	B-O
of	I-LF
alternative	B-O
structures	B-O
in	B-O
the	B-O
2	B-O
studies,	B-O
which	B-O
we	B-O
explain	B-O
based	B-O
on	B-O
the	B-O
droplet	B-O
stage	B-O
reported,	B-O
rather	B-O
than	B-O
different	B-O
pH	B-O
conditions.	B-O
The	B-O
droplet	B-O
environment	B-O
enabled	B-O
fibrillization	B-O
at	B-O
the	B-O
droplet	B-O
surface/solvent	B-O
interface,	B-O
and	B-O
such	B-O
fibril	B-O
form	B-O
was	B-O
amplified	B-O
by	B-O
seeding	B-O
soluble	B-O
protein,	B-O
as	B-O
this	B-O
strategy	B-O
is	B-O
commonly	B-O
used	B-O
to	B-O
propagate	B-O
selected	B-O
amyloid	B-O
conformations	B-O
[	B-O
34	B-O
–	B-O
36	B-O
].	B-O
Shenoy	B-O
and	B-O
colleagues	B-O
used	B-O
a	B-O
4-mm	B-O
rotor	B-O
in	B-O
their	B-O
SSNMR	B-AC
study,	B-O
for	B-O
which	B-O
they	B-O
successfully	B-O
prepared	B-O
a	B-O
large	B-O
amount	B-O
of	I-LF
fibrillar	B-O
material,	B-O
but	B-O
did	B-O
not	B-O
inform	B-O
the	B-O
formation	B-O
of	I-LF
droplets	B-O
.	B-O
This	B-O
is	B-O
reminiscent	B-O
of	I-LF
the	B-O
different	B-O
outcomes	B-O
observed	B-O
in	B-O
cryo-EM	B-AC
and	B-O
SSNMR	B-AC
studies	B-O
on	B-O
fibrils	B-O
from	B-O
the	B-O
TDP-43	B-AC
PrLD	B-AC
:	B-O
CBCA	B-O
and	B-O
fluorescence	B-O
imaging	B-O
.	B-O
The	B-O
latter	B-O
were	B-O
obtained	B-O
by	B-O
addition	B-O
of	I-LF
1	B-O
μL	B-O
of	I-LF
1mM	B-O
ThT	B-AC
and	B-O
laser	B-O
excitation	B-O
at	B-O
457	B-O
nm,	B-O
following	B-O
the	B-O
protocol	B-O
by	B-O
Gui	B-O
and	B-O
colleagues	B-O
.	B-O
To	B-O
confirm	B-O
that	B-O
the	B-O
ThT-reactive	B-O
species	B-O
were	B-O
amyloids,	B-O
the	B-O
samples	B-O
were	B-O
directly	B-O
adsorbed	B-O
onto	B-O
carbon-coated	B-O
300-mesh	B-O
copper	B-O
grids	B-O
and	B-O
negatively	B-O
stained	B-O
by	B-O
incubation	B-O
with	B-O
2%	B-O
uranyl-acetate	B-O
for	B-O
direct	B-O
visualization	B-O
by	B-O
TEM	B-AC
on	B-O
a	B-O
JEOL	B-O
JEM-1011	B-O
electron	I-LF
microscope	B-O
equipped	B-O
with	B-O
a	B-O
TVIPS	B-O
TemCam	B-O
CMOS.	B-O
Images	B-O
acquired	B-O
at	B-O
a	B-O
magnification	B-O
of	I-LF
30,000x	B-O
and	B-O
an	B-O
accelerating	B-O
voltage	B-O
of	I-LF
1,000	B-O
kV.	B-O
Fluorescence	B-O
measurements	B-O
Fluorescence	B-O
measurements	B-O
were	B-O
performed	B-O
using	B-O
a	B-O
photon-counting	B-O
Jobin–Yvon	B-O
Fluoromax-4	B-O
spectrofluorimeter	B-O
equipped	B-O
with	B-O
emission	B-O
and	B-O
excitation	B-O
polarizers	B-O
and	B-O
a	B-O
Peltier	B-O
temperature	B-O
control	B-O
device.	B-O
Fluorescence	B-O
spectra	B-O
of	I-LF
TDP-43	B-AC
PrLD	B-AC
were	B-O
measured	B-O
at	B-O
25°C	B-O
using	B-O
a	B-O
280-nm	B-O
excitation	B-O
wavelength	B-O
and	B-O
recording	B-O
emission	B-O
from	B-O
270	B-O
nm	B-O
to	B-O
400	B-O
nm	B-O
with	B-O
a	B-O
scan	B-O
speed	B-O
of	I-LF
one	B-O
half	B-O
second	B-O
per	B-O
nm	B-O
and	B-O
excitation	B-O
and	B-O
emission	B-O
slit	B-O
widths	B-O
of	I-LF
2	B-O
nm.	B-O
Using	B-O
this	B-O
approach,	B-O
the	B-O
90°	B-O
light	B-O
scattering	B-O
can	B-O
be	B-O
obtained	B-O
as	B-O
the	B-O
apparent	B-O
emission	B-O
at	B-O
280	B-O
nm,	B-O
while	B-O
the	B-O
Trp	B-O
maximum	B-O
emission	B-O
wavelength	B-O
and	B-O
intensity	B-O
provides	B-O
information	B-O
on	B-O
how	B-O
polar	B-O
the	B-O
indole	B-O
fluorophore’s	B-O
environment	B-O
is.	B-O
Steady	B-O
state	B-O
anisotropy	B-O
in	B-O
1	B-O
mM	B-O
CD	B-O
3	B-O
COOD	B-O
S1	B-O
Data.	B-O
Numerical	B-O
data	B-O
for	B-O
Figs	B-O
1	B-O
,	B-O
2	B-O
and	B-O
S1	B-O
.	B-O
(XLSX)	B-O
